127.0.0.1 - - [09/Dec/2020:09:33:22 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:24 +0900] "GET /WEB-INF/views/board/get.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:24 +0900] "GET /favicon.ico HTTP/1.1" 404 3055
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /board/list HTTP/1.1" 200 10907
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /resources/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /resources/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /resources/assets/js/jquery.dropotron.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /resources/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /resources/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /resources/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /resources/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /resources/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /resources/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:33 +0900] "GET /favicon.ico HTTP/1.1" 404 3055
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:36 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=598019 HTTP/1.1" 200 4137
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:36 +0900] "GET /resources/assets/js/reply.js HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:33:50 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=598018 HTTP/1.1" 200 4137
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:34:32 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=598019 HTTP/1.1" 200 4137
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:34:32 +0900] "GET /resources/assets/js/reply.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:36:41 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=598019 HTTP/1.1" 200 4279
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:36:41 +0900] "GET /resources/assets/js/reply.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:36:46 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=598019 HTTP/1.1" 200 4279
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:38:46 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=598019 HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:38:46 +0900] "GET /resources/assets/js/reply.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:38:50 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=598019 HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:38:50 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=598019 HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:39:12 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=598019 HTTP/1.1" 200 4432
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:47:12 +0900] "GET /board/get?pageNum=1&amount=10&type=&keyword=&bno=598019 HTTP/1.1" 200 4797
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:47:12 +0900] "GET /resources/assets/js/reply.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Dec/2020:09:47:19 +0900] "POST /replies/new HTTP/1.1" 200 7
